Time(s),IDD(A),ISS(A),P1(V),P0(V),P3(V),P2(V),P4(V),P5(V),P6(V),P7(V),B2(V),B3(V),A1(V),A2(V),B0(V),B1(V),A0(V),A3(V)
     0.000e-9,  0.000000e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.010e-9,  2.026879e-3,  0.000000e-3,     0.001,     0.001,     0.001,     0.001,     0.000,     0.000,     0.000,     0.001,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.020e-9,  4.042922e-3,  0.000000e-3,     0.002,     0.003,     0.002,     0.002,     0.002,     0.001,     0.002,     0.003,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.030e-9,  6.023980e-3,  0.000000e-3,     0.005,     0.006,     0.004,     0.005,     0.004,     0.003,     0.004,     0.007,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.040e-9,  7.936137e-3,  0.000000e-3,     0.010,     0.011,     0.008,     0.010,     0.007,     0.006,     0.007,     0.014,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.050e-9,  9.740711e-3,  0.000000e-3,     0.016,     0.017,     0.013,     0.016,     0.011,     0.010,     0.011,     0.022,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
     0.060e-9, 11.230718e-3,  0.000000e-3,     0.025,     0.026,     0.020,     0.024,     0.017,     0.016,     0.016,     0.032,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
     0.070e-9, 12.682123e-3,  0.000000e-3,     0.035,     0.038,     0.029,     0.034,     0.024,     0.022,     0.023,     0.044,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
     0.080e-9, 13.925743e-3,  0.000000e-3,     0.048,     0.051,     0.039,     0.046,     0.032,     0.031,     0.031,     0.058,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
     0.090e-9, 14.944586e-3,  0.000000e-3,     0.063,     0.067,     0.051,     0.060,     0.042,     0.040,     0.041,     0.073,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
     0.100e-9, 15.734212e-3,  0.000000e-3,     0.080,     0.085,     0.065,     0.076,     0.054,     0.051,     0.052,     0.087,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.000
     0.110e-9, 16.310064e-3,  0.000000e-3,     0.100,     0.106,     0.081,     0.095,     0.067,     0.064,     0.065,     0.102,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.000
     0.120e-9, 16.683173e-3,  0.000000e-3,     0.122,     0.130,     0.099,     0.116,     0.081,     0.078,     0.080,     0.116,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.000
     0.130e-9, 16.885753e-3,  0.000000e-3,     0.146,     0.155,     0.119,     0.139,     0.098,     0.093,     0.096,     0.128,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.000
     0.140e-9, 16.940248e-3,  0.000000e-3,     0.173,     0.184,     0.141,     0.165,     0.116,     0.111,     0.113,     0.139,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.000
     0.150e-9, 16.798269e-3,  0.000000e-3,     0.202,     0.215,     0.165,     0.192,     0.135,     0.129,     0.133,     0.147,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000
     0.160e-9, 15.973724e-3,  0.000000e-3,     0.234,     0.248,     0.191,     0.222,     0.157,     0.150,     0.154,     0.154,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000
     0.170e-9, 15.166134e-3,  0.000000e-3,     0.267,     0.283,     0.218,     0.254,     0.179,     0.171,     0.176,     0.160,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000
     0.180e-9, 13.957853e-3,  0.000000e-3,     0.302,     0.321,     0.248,     0.288,     0.204,     0.194,     0.200,     0.164,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000
     0.190e-9, 12.281009e-3,  0.000000e-3,     0.339,     0.359,     0.278,     0.323,     0.229,     0.219,     0.225,     0.168,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000
     0.200e-9, 11.277048e-3,  0.000000e-3,     0.376,     0.398,     0.310,     0.358,     0.255,     0.244,     0.251,     0.170,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000
     0.210e-9, 10.652492e-3,  0.000000e-3,     0.413,     0.437,     0.343,     0.394,     0.282,     0.270,     0.277,     0.172,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000
     0.220e-9, 10.293519e-3,  0.000000e-3,     0.450,     0.476,     0.376,     0.430,     0.310,     0.297,     0.304,     0.173,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000
     0.230e-9, 10.347291e-3,  0.000000e-3,     0.486,     0.512,     0.409,     0.464,     0.338,     0.323,     0.332,     0.174,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000
     0.240e-9, 10.006347e-3,  0.000000e-3,     0.520,     0.547,     0.442,     0.498,     0.365,     0.350,     0.359,     0.175,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000
     0.250e-9,  9.646391e-3,  0.000000e-3,     0.552,     0.579,     0.474,     0.529,     0.393,     0.377,     0.386,     0.175,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650,     0.000
     0.260e-9,  8.860392e-3,  0.000000e-3,     0.581,     0.607,     0.505,     0.559,     0.420,     0.404,     0.413,     0.175,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650,     0.000
     0.270e-9,  7.691453e-3,  0.000000e-3,     0.607,     0.632,     0.535,     0.586,     0.447,     0.430,     0.439,     0.174,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650,     0.000
     0.280e-9,  6.934041e-3,  0.000000e-3,     0.630,     0.652,     0.563,     0.609,     0.473,     0.455,     0.464,     0.173,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650,     0.000
     0.290e-9,  6.341824e-3,  0.000000e-3,     0.649,     0.669,     0.589,     0.630,     0.498,     0.480,     0.489,     0.172,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650,     0.000
     0.300e-9,  5.936154e-3,  0.000000e-3,     0.664,     0.681,     0.611,     0.647,     0.522,     0.504,     0.512,     0.171,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.000,     0.000
     0.310e-9,  5.703016e-3,  0.000000e-3,     0.675,     0.689,     0.631,     0.661,     0.545,     0.527,     0.534,     0.170,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.000,     0.000
     0.320e-9,  5.508301e-3,  0.000000e-3,     0.683,     0.693,     0.648,     0.672,     0.566,     0.548,     0.555,     0.168,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.000,     0.000
     0.330e-9,  5.052391e-3,  0.000000e-3,     0.688,     0.694,     0.661,     0.679,     0.585,     0.568,     0.574,     0.167,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.000,     0.000
     0.340e-9,  4.485501e-3,  0.000000e-3,     0.689,     0.692,     0.671,     0.684,     0.602,     0.586,     0.591,     0.165,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.000,     0.000
     0.350e-9,  4.225319e-3,  0.000000e-3,     0.688,     0.688,     0.678,     0.686,     0.618,     0.603,     0.607,     0.164,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.000
     0.360e-9,  3.844918e-3,  0.000000e-3,     0.686,     0.682,     0.683,     0.685,     0.631,     0.617,     0.621,     0.162,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.000
     0.370e-9,  3.485777e-3,  0.000000e-3,     0.681,     0.676,     0.684,     0.683,     0.642,     0.630,     0.633,     0.160,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.000
     0.380e-9,  3.415583e-3,  0.000000e-3,     0.675,     0.669,     0.684,     0.679,     0.652,     0.641,     0.643,     0.159,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.000
     0.390e-9,  3.378972e-3,  0.000000e-3,     0.669,     0.663,     0.682,     0.674,     0.659,     0.650,     0.652,     0.157,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.000
     0.400e-9,  3.391138e-3,  0.000000e-3,     0.663,     0.656,     0.678,     0.668,     0.665,     0.658,     0.659,     0.155,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650
     0.410e-9,  3.407734e-3,  0.000000e-3,     0.658,     0.651,     0.673,     0.663,     0.669,     0.663,     0.664,     0.153,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650
     0.420e-9,  3.306106e-3,  0.000000e-3,     0.652,     0.647,     0.668,     0.658,     0.670,     0.667,     0.667,     0.151,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650
     0.430e-9,  3.197611e-3,  0.000000e-3,     0.648,     0.644,     0.663,     0.653,     0.671,     0.669,     0.669,     0.149,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650
     0.440e-9,  3.025224e-3,  0.000000e-3,     0.645,     0.642,     0.658,     0.649,     0.670,     0.669,     0.669,     0.147,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650
     0.450e-9,  2.830657e-3,  0.000000e-3,     0.643,     0.641,     0.653,     0.646,     0.668,     0.669,     0.668,     0.144,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650
     0.460e-9,  2.713082e-3,  0.000000e-3,     0.642,     0.641,     0.649,     0.644,     0.665,     0.667,     0.666,     0.142,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650
     0.470e-9,  2.700314e-3,  0.000000e-3,     0.642,     0.642,     0.646,     0.643,     0.662,     0.665,     0.664,     0.140,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650
     0.480e-9,  2.632811e-3,  0.000000e-3,     0.642,     0.643,     0.644,     0.642,     0.659,     0.662,     0.661,     0.138,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650
     0.490e-9,  2.535808e-3,  0.000000e-3,     0.643,     0.645,     0.643,     0.643,     0.656,     0.659,     0.658,     0.135,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650
     0.500e-9,  2.498565e-3,  0.000000e-3,     0.645,     0.647,     0.643,     0.644,     0.653,     0.656,     0.655,     0.133,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.650
     0.510e-9,  2.557945e-3,  0.000000e-3,     0.647,     0.649,     0.643,     0.645,     0.650,     0.653,     0.653,     0.131,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.650
     0.520e-9,  2.622853e-3,  0.000000e-3,     0.648,     0.650,     0.644,     0.647,     0.648,     0.651,     0.650,     0.128,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.650
     0.530e-9,  2.635448e-3,  0.000000e-3,     0.650,     0.652,     0.645,     0.648,     0.647,     0.649,     0.648,     0.126,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.650
     0.540e-9,  2.623782e-3,  0.000000e-3,     0.651,     0.652,     0.646,     0.650,     0.646,     0.647,     0.647,     0.123,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000,     0.650
     0.550e-9,  2.558265e-3,  0.000000e-3,     0.652,     0.653,     0.648,     0.651,     0.645,     0.646,     0.646,     0.121,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.650
     0.560e-9,  2.449025e-3,  0.000000e-3,     0.652,     0.653,     0.649,     0.652,     0.645,     0.646,     0.646,     0.118,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.650
     0.570e-9,  2.360472e-3,  0.000000e-3,     0.652,     0.652,     0.650,     0.652,     0.646,     0.646,     0.646,     0.116,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.650
     0.580e-9,  2.263433e-3,  0.000000e-3,     0.652,     0.652,     0.651,     0.652,     0.647,     0.646,     0.646,     0.113,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.650
     0.590e-9,  2.245545e-3,  0.000000e-3,     0.652,     0.651,     0.652,     0.652,     0.647,     0.647,     0.647,     0.111,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.650
     0.600e-9,  2.260892e-3,  0.000000e-3,     0.651,     0.650,     0.652,     0.652,     0.648,     0.647,     0.648,     0.108,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650
     0.610e-9,  2.350786e-3,  0.000000e-3,     0.650,     0.650,     0.652,     0.651,     0.649,     0.648,     0.648,     0.106,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650
     0.620e-9,  2.490716e-3,  0.000000e-3,     0.650,     0.649,     0.652,     0.650,     0.650,     0.649,     0.649,     0.103,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650
     0.630e-9,  2.689133e-3,  0.000000e-3,     0.649,     0.649,     0.652,     0.650,     0.650,     0.650,     0.650,     0.101,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650
     0.640e-9,  2.909234e-3,  0.000000e-3,     0.649,     0.649,     0.651,     0.650,     0.651,     0.650,     0.650,     0.098,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650
     0.650e-9,  3.090128e-3,  0.000000e-3,     0.649,     0.649,     0.651,     0.649,     0.651,     0.651,     0.651,     0.096,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650,     0.650
     0.660e-9,  3.168587e-3,  0.000000e-3,     0.649,     0.649,     0.650,     0.649,     0.651,     0.651,     0.651,     0.093,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650,     0.650
     0.670e-9,  3.030150e-3,  0.000000e-3,     0.649,     0.650,     0.650,     0.649,     0.651,     0.651,     0.651,     0.091,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650,     0.650
     0.680e-9,  2.932908e-3,  0.000000e-3,     0.650,     0.650,     0.650,     0.649,     0.651,     0.651,     0.651,     0.088,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650,     0.650
     0.690e-9,  2.406013e-3,  0.000000e-3,     0.650,     0.650,     0.650,     0.650,     0.651,     0.651,     0.651,     0.086,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650,     0.650
     0.700e-9,  1.510149e-3,  0.000000e-3,     0.650,     0.650,     0.649,     0.650,     0.651,     0.651,     0.651,     0.084,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.000,     0.650
     0.710e-9,  1.355408e-3,  0.000000e-3,     0.650,     0.650,     0.649,     0.650,     0.650,     0.651,     0.651,     0.082,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.000,     0.650
     0.720e-9,  1.470272e-3,  0.000000e-3,     0.650,     0.650,     0.650,     0.650,     0.650,     0.651,     0.651,     0.080,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.000,     0.650
     0.730e-9,  1.439984e-3,  0.000000e-3,     0.650,     0.648,     0.650,     0.650,     0.650,     0.650,     0.650,     0.078,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.000,     0.650
     0.740e-9,  1.683361e-3,  0.000000e-3,     0.650,     0.642,     0.650,     0.650,     0.650,     0.650,     0.650,     0.076,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.000,     0.650
     0.750e-9,  2.042560e-3,  0.000000e-3,     0.650,     0.631,     0.650,     0.650,     0.650,     0.650,     0.649,     0.075,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.760e-9,  2.082427e-3,  0.000000e-3,     0.650,     0.615,     0.650,     0.650,     0.650,     0.650,     0.646,     0.073,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.770e-9,  1.935266e-3,  0.000000e-3,     0.650,     0.592,     0.650,     0.650,     0.650,     0.650,     0.640,     0.072,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.780e-9,  1.669775e-3,  0.000000e-3,     0.650,     0.563,     0.650,     0.650,     0.650,     0.650,     0.630,     0.070,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.790e-9,  1.058992e-3,  0.000000e-3,     0.650,     0.527,     0.650,     0.650,     0.650,     0.650,     0.616,     0.069,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.800e-9,  0.793694e-3,  0.000000e-3,     0.650,     0.485,     0.650,     0.650,     0.650,     0.650,     0.598,     0.068,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.810e-9,  1.033844e-3,  0.000000e-3,     0.650,     0.438,     0.650,     0.650,     0.650,     0.650,     0.577,     0.066,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.820e-9,  1.185872e-3,  0.000000e-3,     0.650,     0.386,     0.650,     0.650,     0.650,     0.650,     0.552,     0.065,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.830e-9,  1.196243e-3,  0.000000e-3,     0.650,     0.332,     0.650,     0.650,     0.650,     0.650,     0.523,     0.064,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.840e-9,  1.125956e-3,  0.000000e-3,     0.650,     0.277,     0.650,     0.650,     0.650,     0.650,     0.492,     0.062,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.850e-9,  1.093796e-3,  0.000000e-3,     0.650,     0.222,     0.650,     0.650,     0.650,     0.650,     0.458,     0.061,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000
     0.860e-9,  0.959287e-3,  0.000000e-3,     0.650,     0.170,     0.650,     0.650,     0.650,     0.650,     0.422,     0.060,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000
     0.870e-9,  0.723784e-3,  0.000000e-3,     0.650,     0.120,     0.650,     0.650,     0.650,     0.650,     0.386,     0.059,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000
     0.880e-9,  0.535556e-3,  0.000000e-3,     0.650,     0.075,     0.650,     0.650,     0.650,     0.650,     0.349,     0.057,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000
     0.890e-9,  0.437709e-3,  0.000000e-3,     0.650,     0.036,     0.650,     0.650,     0.650,     0.650,     0.313,     0.056,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000
     0.900e-9,  0.408114e-3,  0.000000e-3,     0.650,     0.002,     0.650,     0.650,     0.650,     0.650,     0.277,     0.055,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000,     0.000,     0.000
     0.910e-9,  0.642221e-3,  0.000000e-3,     0.650,    -0.024,     0.650,     0.650,     0.650,     0.650,     0.243,     0.054,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000,     0.000,     0.000
     0.920e-9,  0.691980e-3,  0.000000e-3,     0.650,    -0.044,     0.650,     0.650,     0.650,     0.650,     0.209,     0.053,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000,     0.000,     0.000
     0.930e-9,  0.682484e-3,  0.000000e-3,     0.650,    -0.057,     0.650,     0.650,     0.650,     0.650,     0.178,     0.052,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000,     0.000,     0.000
     0.940e-9,  0.557616e-3,  0.000000e-3,     0.650,    -0.064,     0.650,     0.650,     0.650,     0.650,     0.148,     0.051,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000,     0.000,     0.000
     0.950e-9,  0.439692e-3,  0.000000e-3,     0.650,    -0.066,     0.650,     0.650,     0.650,     0.650,     0.119,     0.050,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000,     0.650,     0.000
     0.960e-9,  0.348404e-3,  0.000000e-3,     0.650,    -0.062,     0.650,     0.650,     0.650,     0.650,     0.093,     0.049,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000,     0.650,     0.000
     0.970e-9,  0.253814e-3,  0.000000e-3,     0.650,    -0.055,     0.650,     0.650,     0.650,     0.650,     0.069,     0.049,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000,     0.650,     0.000
     0.980e-9,  0.170928e-3,  0.000000e-3,     0.650,    -0.046,     0.650,     0.650,     0.650,     0.650,     0.047,     0.048,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000,     0.650,     0.000
     0.990e-9,  0.170140e-3,  0.000000e-3,     0.650,    -0.036,     0.650,     0.650,     0.650,     0.650,     0.028,     0.048,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000,     0.650,     0.000
     1.000e-9,  0.187170e-3,  0.000000e-3,     0.650,    -0.025,     0.650,     0.650,     0.650,     0.650,     0.012,     0.047,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.000
     1.010e-9,  1.226551e-3,  0.000000e-3,     0.650,    -0.015,     0.650,     0.650,     0.650,     0.650,    -0.001,     0.047,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.000
     1.020e-9,  1.248300e-3,  0.000000e-3,     0.650,    -0.006,     0.650,     0.650,     0.650,     0.650,    -0.012,     0.046,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.000
     1.030e-9,  1.188878e-3,  0.000000e-3,     0.650,     0.001,     0.650,     0.650,     0.650,     0.650,    -0.020,     0.046,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.000
     1.040e-9,  1.050490e-3,  0.000000e-3,     0.650,     0.007,     0.650,     0.650,     0.650,     0.650,    -0.026,     0.045,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.000
     1.050e-9,  0.889921e-3,  0.000000e-3,     0.650,     0.011,     0.650,     0.650,     0.650,     0.650,    -0.029,     0.045,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.650,     0.000
     1.060e-9,  0.667522e-3,  0.000000e-3,     0.650,     0.014,     0.650,     0.650,     0.650,     0.650,    -0.031,     0.045,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.650,     0.000
     1.070e-9,  0.553785e-3,  0.000000e-3,     0.650,     0.015,     0.650,     0.650,     0.650,     0.650,    -0.031,     0.044,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.650,     0.000
     1.080e-9,  0.399085e-3,  0.000000e-3,     0.650,     0.015,     0.650,     0.650,     0.650,     0.650,    -0.030,     0.044,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.650,     0.000
     1.090e-9,  0.192797e-3,  0.000000e-3,     0.650,     0.015,     0.650,     0.650,     0.650,     0.650,    -0.027,     0.044,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.650,     0.000
     1.100e-9,  0.254422e-3,  0.000000e-3,     0.650,     0.013,     0.650,     0.650,     0.650,     0.650,    -0.024,     0.043,     0.000,     0.000,     0.650,     0.650,     0.650,     0.000,     0.000,     0.000
     1.110e-9,  0.232192e-3,  0.000000e-3,     0.650,     0.011,     0.650,     0.650,     0.650,     0.650,    -0.021,     0.043,     0.000,     0.000,     0.650,     0.650,     0.650,     0.000,     0.000,     0.000
     1.120e-9,  0.293283e-3,  0.000000e-3,     0.650,     0.009,     0.650,     0.650,     0.650,     0.650,    -0.018,     0.042,     0.000,     0.000,     0.650,     0.650,     0.650,     0.000,     0.000,     0.000
     1.130e-9,  0.335178e-3,  0.000000e-3,     0.650,     0.006,     0.650,     0.650,     0.650,     0.650,    -0.014,     0.042,     0.000,     0.000,     0.650,     0.650,     0.650,     0.000,     0.000,     0.000
     1.140e-9,  0.369882e-3,  0.000000e-3,     0.650,     0.004,     0.650,     0.650,     0.650,     0.650,    -0.011,     0.042,     0.000,     0.000,     0.650,     0.650,     0.650,     0.000,     0.000,     0.000
     1.150e-9,  0.419915e-3,  0.000000e-3,     0.650,     0.002,     0.650,     0.650,     0.650,     0.650,    -0.008,     0.042,     0.000,     0.000,     0.650,     0.650,     0.650,     0.000,     0.650,     0.000
     1.160e-9,  0.515928e-3,  0.000000e-3,     0.650,     0.000,     0.650,     0.650,     0.650,     0.650,    -0.005,     0.041,     0.000,     0.000,     0.650,     0.650,     0.650,     0.000,     0.650,     0.000
     1.170e-9,  0.639202e-3,  0.000000e-3,     0.650,    -0.001,     0.650,     0.650,     0.650,     0.650,    -0.003,     0.041,     0.000,     0.000,     0.650,     0.650,     0.650,     0.000,     0.650,     0.000
     1.180e-9,  0.777891e-3,  0.000000e-3,     0.650,    -0.002,     0.650,     0.650,     0.650,     0.650,    -0.001,     0.041,     0.000,     0.000,     0.650,     0.650,     0.650,     0.000,     0.650,     0.000
     1.190e-9,  0.925431e-3,  0.000000e-3,     0.650,    -0.003,     0.650,     0.650,     0.650,     0.650,     0.001,     0.041,     0.000,     0.000,     0.650,     0.650,     0.650,     0.000,     0.650,     0.000
     1.200e-9,  1.077364e-3,  0.000000e-3,     0.650,    -0.003,     0.650,     0.650,     0.650,     0.650,     0.002,     0.040,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650
     1.210e-9,  2.492383e-3,  0.000000e-3,     0.650,    -0.003,     0.650,     0.650,     0.650,     0.650,     0.003,     0.040,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650
     1.220e-9,  2.580446e-3,  0.000000e-3,     0.650,    -0.003,     0.650,     0.650,     0.650,     0.650,     0.004,     0.040,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650
     1.230e-9,  2.537682e-3,  0.000000e-3,     0.650,    -0.003,     0.650,     0.650,     0.650,     0.650,     0.004,     0.040,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650
     1.240e-9,  2.338075e-3,  0.000000e-3,     0.650,    -0.002,     0.650,     0.650,     0.650,     0.650,     0.004,     0.040,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650
     1.250e-9,  2.004835e-3,  0.000000e-3,     0.650,    -0.002,     0.650,     0.650,     0.650,     0.650,     0.004,     0.040,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.650
     1.260e-9,  1.509516e-3,  0.000000e-3,     0.650,    -0.001,     0.650,     0.650,     0.650,     0.650,     0.004,     0.040,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.650
     1.270e-9,  1.404284e-3,  0.000000e-3,     0.650,    -0.001,     0.650,     0.650,     0.650,     0.650,     0.004,     0.040,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.650
     1.280e-9,  1.571440e-3,  0.000000e-3,     0.650,    -0.000,     0.650,     0.650,     0.650,     0.649,     0.003,     0.040,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.650
     1.290e-9,  1.639561e-3,  0.000000e-3,     0.650,    -0.000,     0.650,     0.650,     0.650,     0.648,     0.003,     0.040,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.650
