Time(s),IDD(A),ISS(A),AixBi(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),A0(V),B3(V),B2(V),B0(V),A2(V),B1(V),A1(V),A3(V)
     0.000e-9,  0.000000e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.010e-9,  2.026879e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.020e-9,  4.043050e-3,  0.000000e-3,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.030e-9,  6.024644e-3,  0.000000e-3,     0.003,     0.003,     0.003,     0.003,     0.003,     0.003,     0.003,     0.003,     0.003,     0.003,     0.003,     0.003,     0.003,     0.003,     0.003,     0.003,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.040e-9,  7.938139e-3,  0.000000e-3,     0.005,     0.005,     0.005,     0.005,     0.005,     0.005,     0.005,     0.005,     0.005,     0.005,     0.005,     0.005,     0.005,     0.005,     0.005,     0.005,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.050e-9,  9.745281e-3,  0.000000e-3,     0.008,     0.008,     0.008,     0.008,     0.008,     0.008,     0.008,     0.008,     0.008,     0.008,     0.008,     0.008,     0.008,     0.008,     0.008,     0.008,     0.650,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.060e-9, 11.239501e-3,  0.000000e-3,     0.012,     0.012,     0.012,     0.012,     0.012,     0.012,     0.012,     0.012,     0.012,     0.012,     0.012,     0.012,     0.012,     0.012,     0.012,     0.012,     0.650,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.070e-9, 12.697094e-3,  0.000000e-3,     0.016,     0.016,     0.016,     0.016,     0.016,     0.016,     0.016,     0.016,     0.016,     0.016,     0.016,     0.016,     0.016,     0.016,     0.016,     0.016,     0.650,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.080e-9, 13.949074e-3,  0.000000e-3,     0.021,     0.021,     0.021,     0.021,     0.021,     0.021,     0.021,     0.021,     0.021,     0.021,     0.021,     0.021,     0.021,     0.021,     0.021,     0.021,     0.650,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.090e-9, 14.978473e-3,  0.000000e-3,     0.026,     0.026,     0.026,     0.026,     0.026,     0.026,     0.026,     0.026,     0.026,     0.026,     0.026,     0.026,     0.026,     0.026,     0.026,     0.026,     0.650,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.100e-9, 15.780696e-3,  0.000000e-3,     0.031,     0.032,     0.031,     0.031,     0.031,     0.031,     0.031,     0.032,     0.031,     0.031,     0.031,     0.032,     0.031,     0.031,     0.032,     0.031,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
     0.110e-9, 16.370877e-3,  0.000000e-3,     0.035,     0.038,     0.035,     0.035,     0.035,     0.035,     0.035,     0.038,     0.035,     0.035,     0.035,     0.038,     0.035,     0.035,     0.038,     0.035,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
     0.120e-9, 16.759684e-3,  0.000000e-3,     0.039,     0.043,     0.039,     0.039,     0.039,     0.039,     0.039,     0.043,     0.039,     0.039,     0.039,     0.043,     0.039,     0.039,     0.043,     0.039,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
     0.130e-9, 16.979088e-3,  0.000000e-3,     0.043,     0.048,     0.042,     0.042,     0.043,     0.042,     0.042,     0.048,     0.043,     0.042,     0.042,     0.048,     0.043,     0.042,     0.048,     0.042,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
     0.140e-9, 17.050174e-3,  0.000000e-3,     0.046,     0.053,     0.045,     0.045,     0.046,     0.045,     0.045,     0.053,     0.046,     0.045,     0.045,     0.053,     0.046,     0.045,     0.053,     0.045,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
     0.150e-9, 16.917200e-3,  0.000000e-3,     0.048,     0.056,     0.047,     0.047,     0.048,     0.047,     0.047,     0.056,     0.048,     0.047,     0.047,     0.056,     0.048,     0.047,     0.056,     0.047,     0.650,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
     0.160e-9, 16.084272e-3,  0.000000e-3,     0.050,     0.059,     0.049,     0.049,     0.050,     0.049,     0.049,     0.059,     0.050,     0.049,     0.049,     0.059,     0.050,     0.049,     0.059,     0.049,     0.650,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
     0.170e-9, 15.246566e-3,  0.000000e-3,     0.051,     0.061,     0.050,     0.050,     0.051,     0.050,     0.050,     0.061,     0.051,     0.050,     0.050,     0.061,     0.051,     0.050,     0.061,     0.050,     0.650,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
     0.180e-9, 13.986465e-3,  0.000000e-3,     0.052,     0.063,     0.051,     0.051,     0.052,     0.051,     0.051,     0.063,     0.052,     0.051,     0.051,     0.063,     0.052,     0.051,     0.063,     0.051,     0.650,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
     0.190e-9, 12.240319e-3,  0.000000e-3,     0.053,     0.064,     0.051,     0.051,     0.053,     0.051,     0.051,     0.064,     0.053,     0.051,     0.051,     0.064,     0.053,     0.051,     0.064,     0.051,     0.650,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000
     0.200e-9, 11.175705e-3,  0.000000e-3,     0.053,     0.064,     0.051,     0.051,     0.053,     0.051,     0.051,     0.064,     0.053,     0.051,     0.051,     0.064,     0.053,     0.051,     0.064,     0.051,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.210e-9, 10.647907e-3,  0.000000e-3,     0.053,     0.065,     0.050,     0.050,     0.053,     0.050,     0.050,     0.065,     0.053,     0.050,     0.050,     0.065,     0.053,     0.050,     0.065,     0.050,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.220e-9, 10.434130e-3,  0.000000e-3,     0.053,     0.064,     0.050,     0.050,     0.053,     0.050,     0.050,     0.064,     0.053,     0.050,     0.050,     0.064,     0.053,     0.050,     0.064,     0.050,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.230e-9, 10.447184e-3,  0.000000e-3,     0.053,     0.064,     0.049,     0.049,     0.053,     0.049,     0.049,     0.064,     0.053,     0.049,     0.049,     0.064,     0.053,     0.049,     0.064,     0.049,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.240e-9, 10.015822e-3,  0.000000e-3,     0.052,     0.063,     0.047,     0.047,     0.052,     0.047,     0.047,     0.063,     0.052,     0.047,     0.047,     0.063,     0.052,     0.047,     0.063,     0.047,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.250e-9,  9.594373e-3,  0.000000e-3,     0.051,     0.061,     0.046,     0.046,     0.051,     0.046,     0.046,     0.061,     0.051,     0.046,     0.046,     0.061,     0.051,     0.046,     0.061,     0.046,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.260e-9,  8.815827e-3,  0.000000e-3,     0.049,     0.060,     0.045,     0.045,     0.049,     0.045,     0.045,     0.060,     0.049,     0.045,     0.045,     0.060,     0.049,     0.045,     0.060,     0.045,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.270e-9,  7.663088e-3,  0.000000e-3,     0.048,     0.058,     0.043,     0.043,     0.048,     0.043,     0.043,     0.058,     0.048,     0.043,     0.043,     0.058,     0.048,     0.043,     0.058,     0.043,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.280e-9,  6.901893e-3,  0.000000e-3,     0.046,     0.056,     0.042,     0.042,     0.046,     0.042,     0.042,     0.056,     0.046,     0.042,     0.042,     0.056,     0.046,     0.042,     0.056,     0.042,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.290e-9,  6.314426e-3,  0.000000e-3,     0.045,     0.054,     0.040,     0.040,     0.045,     0.040,     0.040,     0.054,     0.045,     0.040,     0.040,     0.054,     0.045,     0.040,     0.054,     0.040,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.300e-9,  5.983085e-3,  0.000000e-3,     0.043,     0.052,     0.039,     0.038,     0.043,     0.039,     0.038,     0.052,     0.043,     0.039,     0.038,     0.052,     0.043,     0.039,     0.052,     0.038,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000
     0.310e-9,  5.769170e-3,  0.000000e-3,     0.041,     0.050,     0.037,     0.037,     0.041,     0.037,     0.037,     0.050,     0.041,     0.037,     0.037,     0.050,     0.041,     0.037,     0.050,     0.037,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000
     0.320e-9,  5.519049e-3,  0.000000e-3,     0.039,     0.048,     0.036,     0.035,     0.039,     0.036,     0.035,     0.048,     0.039,     0.036,     0.035,     0.048,     0.039,     0.036,     0.048,     0.035,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000
     0.330e-9,  5.012862e-3,  0.000000e-3,     0.038,     0.045,     0.034,     0.033,     0.038,     0.034,     0.033,     0.045,     0.038,     0.034,     0.033,     0.045,     0.038,     0.034,     0.045,     0.033,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000
     0.340e-9,  4.406070e-3,  0.000000e-3,     0.036,     0.043,     0.032,     0.032,     0.036,     0.032,     0.032,     0.043,     0.036,     0.032,     0.032,     0.043,     0.036,     0.032,     0.043,     0.032,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000
     0.350e-9,  4.158519e-3,  0.000000e-3,     0.034,     0.041,     0.031,     0.030,     0.034,     0.031,     0.030,     0.041,     0.034,     0.031,     0.030,     0.041,     0.034,     0.031,     0.041,     0.030,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000
     0.360e-9,  3.793333e-3,  0.000000e-3,     0.032,     0.039,     0.029,     0.028,     0.032,     0.029,     0.028,     0.039,     0.032,     0.029,     0.028,     0.039,     0.032,     0.029,     0.039,     0.028,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000
     0.370e-9,  3.448276e-3,  0.000000e-3,     0.031,     0.037,     0.027,     0.027,     0.031,     0.027,     0.027,     0.037,     0.031,     0.027,     0.027,     0.037,     0.031,     0.027,     0.037,     0.027,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000
     0.380e-9,  3.450210e-3,  0.000000e-3,     0.029,     0.035,     0.026,     0.025,     0.029,     0.026,     0.025,     0.035,     0.029,     0.026,     0.025,     0.035,     0.029,     0.026,     0.035,     0.025,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000
     0.390e-9,  3.453903e-3,  0.000000e-3,     0.027,     0.033,     0.024,     0.024,     0.027,     0.024,     0.024,     0.033,     0.027,     0.024,     0.024,     0.033,     0.027,     0.024,     0.033,     0.024,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.000
     0.400e-9,  3.440751e-3,  0.000000e-3,     0.025,     0.030,     0.022,     0.022,     0.025,     0.022,     0.022,     0.030,     0.025,     0.022,     0.022,     0.030,     0.025,     0.022,     0.030,     0.022,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650
     0.410e-9,  3.418531e-3,  0.000000e-3,     0.024,     0.028,     0.021,     0.021,     0.024,     0.021,     0.021,     0.028,     0.024,     0.021,     0.021,     0.028,     0.024,     0.021,     0.028,     0.021,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650
     0.420e-9,  3.277642e-3,  0.000000e-3,     0.022,     0.026,     0.019,     0.019,     0.022,     0.019,     0.019,     0.026,     0.022,     0.019,     0.019,     0.026,     0.022,     0.019,     0.026,     0.019,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650
     0.430e-9,  3.139327e-3,  0.000000e-3,     0.020,     0.024,     0.018,     0.018,     0.020,     0.018,     0.018,     0.024,     0.020,     0.018,     0.018,     0.024,     0.020,     0.018,     0.024,     0.018,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650
     0.440e-9,  2.968567e-3,  0.000000e-3,     0.019,     0.023,     0.017,     0.016,     0.019,     0.017,     0.016,     0.023,     0.019,     0.017,     0.016,     0.023,     0.019,     0.017,     0.023,     0.016,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650
     0.450e-9,  2.805257e-3,  0.000000e-3,     0.017,     0.021,     0.015,     0.015,     0.017,     0.015,     0.015,     0.021,     0.017,     0.015,     0.015,     0.021,     0.017,     0.015,     0.021,     0.015,     0.650,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650
     0.460e-9,  2.715719e-3,  0.000000e-3,     0.016,     0.019,     0.014,     0.014,     0.016,     0.014,     0.014,     0.019,     0.016,     0.014,     0.014,     0.019,     0.016,     0.014,     0.019,     0.014,     0.650,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650
     0.470e-9,  2.709274e-3,  0.000000e-3,     0.015,     0.017,     0.013,     0.013,     0.015,     0.013,     0.013,     0.017,     0.015,     0.013,     0.013,     0.017,     0.015,     0.013,     0.017,     0.013,     0.650,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650
     0.480e-9,  2.633591e-3,  0.000000e-3,     0.013,     0.016,     0.012,     0.011,     0.013,     0.012,     0.011,     0.016,     0.013,     0.012,     0.011,     0.016,     0.013,     0.012,     0.016,     0.011,     0.650,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650
     0.490e-9,  2.525314e-3,  0.000000e-3,     0.012,     0.014,     0.011,     0.010,     0.012,     0.011,     0.010,     0.014,     0.012,     0.011,     0.010,     0.014,     0.012,     0.011,     0.014,     0.010,     0.650,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650
     0.500e-9,  2.477159e-3,  0.000000e-3,     0.011,     0.013,     0.010,     0.009,     0.011,     0.010,     0.009,     0.013,     0.011,     0.010,     0.009,     0.013,     0.011,     0.010,     0.013,     0.009,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650
     0.510e-9,  2.544344e-3,  0.000000e-3,     0.010,     0.012,     0.009,     0.008,     0.010,     0.009,     0.008,     0.012,     0.010,     0.009,     0.008,     0.012,     0.010,     0.009,     0.012,     0.008,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650
     0.520e-9,  2.625186e-3,  0.000000e-3,     0.009,     0.010,     0.008,     0.007,     0.009,     0.008,     0.007,     0.010,     0.009,     0.008,     0.007,     0.010,     0.009,     0.008,     0.010,     0.007,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650
     0.530e-9,  2.642079e-3,  0.000000e-3,     0.008,     0.009,     0.007,     0.006,     0.008,     0.007,     0.006,     0.009,     0.008,     0.007,     0.006,     0.009,     0.008,     0.007,     0.009,     0.006,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650
     0.540e-9,  2.634420e-3,  0.000000e-3,     0.007,     0.008,     0.006,     0.006,     0.007,     0.006,     0.006,     0.008,     0.007,     0.006,     0.006,     0.008,     0.007,     0.006,     0.008,     0.006,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650
     0.550e-9,  2.577004e-3,  0.000000e-3,     0.006,     0.007,     0.005,     0.005,     0.006,     0.005,     0.005,     0.007,     0.006,     0.005,     0.005,     0.007,     0.006,     0.005,     0.007,     0.005,     0.650,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650
     0.560e-9,  2.473905e-3,  0.000000e-3,     0.005,     0.006,     0.005,     0.004,     0.005,     0.005,     0.004,     0.006,     0.005,     0.005,     0.004,     0.006,     0.005,     0.005,     0.006,     0.004,     0.650,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650
     0.570e-9,  2.396451e-3,  0.000000e-3,     0.004,     0.005,     0.004,     0.004,     0.004,     0.004,     0.004,     0.005,     0.004,     0.004,     0.004,     0.005,     0.004,     0.004,     0.005,     0.004,     0.650,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650
     0.580e-9,  2.309327e-3,  0.000000e-3,     0.004,     0.004,     0.003,     0.003,     0.004,     0.003,     0.003,     0.004,     0.004,     0.003,     0.003,     0.004,     0.004,     0.003,     0.004,     0.003,     0.650,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650
     0.590e-9,  2.296592e-3,  0.000000e-3,     0.003,     0.004,     0.003,     0.003,     0.003,     0.003,     0.003,     0.004,     0.003,     0.003,     0.003,     0.004,     0.003,     0.003,     0.004,     0.003,     0.650,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650
     0.600e-9,  2.313991e-3,  0.000000e-3,     0.003,     0.003,     0.002,     0.002,     0.003,     0.002,     0.002,     0.003,     0.003,     0.002,     0.002,     0.003,     0.003,     0.002,     0.003,     0.002,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650
     0.610e-9,  2.405304e-3,  0.000000e-3,     0.002,     0.003,     0.002,     0.002,     0.002,     0.002,     0.002,     0.003,     0.002,     0.002,     0.002,     0.003,     0.002,     0.002,     0.003,     0.002,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650
     0.620e-9,  2.550020e-3,  0.000000e-3,     0.002,     0.002,     0.002,     0.001,     0.002,     0.002,     0.001,     0.002,     0.002,     0.002,     0.001,     0.002,     0.002,     0.002,     0.002,     0.001,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650
     0.630e-9,  2.752644e-3,  0.000000e-3,     0.001,     0.002,     0.001,     0.001,     0.001,     0.001,     0.001,     0.002,     0.001,     0.001,     0.001,     0.002,     0.001,     0.001,     0.002,     0.001,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650
     0.640e-9,  2.970511e-3,  0.000000e-3,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650
     0.650e-9,  3.146836e-3,  0.000000e-3,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650
     0.660e-9,  3.221719e-3,  0.000000e-3,     0.000,     0.001,     0.000,     0.000,     0.000,     0.000,     0.000,     0.001,     0.000,     0.000,     0.000,     0.001,     0.000,     0.000,     0.001,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650
     0.670e-9,  3.083258e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650
     0.680e-9,  2.989245e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650
     0.690e-9,  2.452875e-3,  0.000000e-3,    -0.000,    -0.000,     0.000,    -0.000,    -0.000,     0.000,    -0.000,    -0.000,    -0.000,     0.000,    -0.000,    -0.000,    -0.000,     0.000,    -0.000,    -0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650
     0.700e-9,  1.541858e-3,  0.000000e-3,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.650
     0.710e-9,  1.340059e-3,  0.000000e-3,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.650
     0.720e-9,  1.463028e-3,  0.000000e-3,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.650
     0.730e-9,  1.455824e-3,  0.000000e-3,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.650
     0.740e-9,  1.707807e-3,  0.000000e-3,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.650
     0.750e-9,  2.077868e-3,  0.000000e-3,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.650
     0.760e-9,  2.113738e-3,  0.000000e-3,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.650
     0.770e-9,  1.914807e-3,  0.000000e-3,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.650
     0.780e-9,  1.672192e-3,  0.000000e-3,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.650
     0.790e-9,  1.086563e-3,  0.000000e-3,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,     0.650,     0.000,     0.000,     0.000,     0.650,     0.000,     0.650,     0.650
     0.800e-9,  0.870035e-3,  0.000000e-3,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000
     0.810e-9,  1.126817e-3,  0.000000e-3,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000
     0.820e-9,  1.332953e-3,  0.000000e-3,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000
     0.830e-9,  1.316909e-3,  0.000000e-3,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000
     0.840e-9,  1.219631e-3,  0.000000e-3,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000
     0.850e-9,  1.176026e-3,  0.000000e-3,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,     0.650,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000
     0.860e-9,  1.003330e-3,  0.000000e-3,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,     0.650,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000
     0.870e-9,  0.701245e-3,  0.000000e-3,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,     0.650,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000
     0.880e-9,  0.540067e-3,  0.000000e-3,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,     0.650,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000
     0.890e-9,  0.477982e-3,  0.000000e-3,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,     0.650,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000,     0.000
     0.900e-9,  0.472121e-3,  0.000000e-3,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650,     0.000
     0.910e-9,  0.713902e-3,  0.000000e-3,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,    -0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.650,     0.000
