Time(s),IDD(A),ISS(A),P1(V),P0(V),P3(V),P2(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),P4(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),P5(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),P6(V),P7(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),B2(V),B3(V),A1(V),A2(V),B0(V),B1(V),A0(V),A3(V)
     0.755e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.756e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.757e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.758e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.759e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.760e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.761e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.762e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.763e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.764e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.765e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.766e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.767e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.768e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.769e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.770e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.771e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.772e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.773e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.774e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.775e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.776e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.777e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.778e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.779e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.780e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.781e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.782e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.783e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.784e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.785e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.786e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.787e-9,  0.000059e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.788e-9,  0.000059e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.789e-9,  0.000059e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.790e-9,  0.000059e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.791e-9,  0.000059e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.792e-9,  0.000059e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.793e-9,  0.000059e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.794e-9,  0.000059e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.795e-9,  0.000059e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.650,     0.000,     0.000,     0.650,     0.650
     0.796e-9,  0.000054e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.533,     0.533,     0.117,     0.000,     0.533,     0.533
     0.797e-9,  0.000052e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.403,     0.403,     0.247,     0.000,     0.403,     0.403
     0.798e-9,  0.000051e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.273,     0.273,     0.377,     0.000,     0.273,     0.273
     0.799e-9,  0.031749e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.143,     0.143,     0.507,     0.000,     0.143,     0.143
     0.800e-9,  0.009042e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.013,     0.013,     0.637,     0.000,     0.013,     0.013
     0.801e-9,  0.006476e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.802e-9,  0.001063e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.803e-9,  0.000407e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.804e-9,  0.000268e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.805e-9,  0.000084e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.806e-9,  0.000065e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.807e-9,  0.000058e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.808e-9,  0.000054e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.809e-9,  0.000053e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.810e-9,  0.000053e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.811e-9,  0.000053e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.812e-9,  0.000053e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.813e-9,  0.000053e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.814e-9,  0.000053e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.815e-9,  0.000053e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.816e-9,  0.000053e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.817e-9,  0.000053e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.818e-9,  0.000053e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.819e-9,  0.000053e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.820e-9,  0.000053e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.821e-9,  0.000053e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.822e-9,  0.000054e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.823e-9,  0.000054e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.824e-9,  0.000054e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.825e-9,  0.000054e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.826e-9,  0.000054e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
     0.827e-9,  0.000054e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.650,     0.000,     0.000,     0.000
